2022-05-17 00:49:45.342 DEBUG 5580 --- [main] c.b.m.a.MybatisPlusAutoConfiguration     : Using auto-configuration base package 'seekgroup.college.community'
2022-05-17 00:49:45.525 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.mybatis.spring.mapper.MapperScannerConfigurer'
2022-05-17 00:49:45.535 DEBUG 5580 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2022-05-17 00:49:45.561 DEBUG 5580 --- [main] org.apache.ibatis.logging.LogFactory     : Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2022-05-17 00:49:45.602 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: file [C:\Users\Kyle\Desktop\community-final\target\classes\seekgroup\college\community\mapper\CommentExtMapper.class]
2022-05-17 00:49:45.602 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: file [C:\Users\Kyle\Desktop\community-final\target\classes\seekgroup\college\community\mapper\CommentMapper.class]
2022-05-17 00:49:45.603 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: file [C:\Users\Kyle\Desktop\community-final\target\classes\seekgroup\college\community\mapper\DiscussionExtMapper.class]
2022-05-17 00:49:45.604 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: file [C:\Users\Kyle\Desktop\community-final\target\classes\seekgroup\college\community\mapper\DiscussionMapper.class]
2022-05-17 00:49:45.604 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: file [C:\Users\Kyle\Desktop\community-final\target\classes\seekgroup\college\community\mapper\NotificationMapper.class]
2022-05-17 00:49:45.605 DEBUG 5580 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: file [C:\Users\Kyle\Desktop\community-final\target\classes\seekgroup\college\community\mapper\UserMapper.class]
